,Unnamed: 0,store,latitude,longitude,rental_area,annual_rental_cost_of_sq_m,shopping center,floor,target_audience,relative_interest_target audience,parking_500_m,nearest_metro,nearest_hypermarket,presence_on_market,annual_sales_per_sq_m,nearest_sportmaster,address,geometry,hex_id,json_encoded,competition_rate,nearest_store,nearest_competitor
0,0,Академическая,60.012253,30.394577,172,13200,0,1,22369,0.0196,1,177,400,28,387147,700,"г. Санкт-Петербург, пр. Науки, д.19, к.2",POINT (60.012253 30.394577),874356c0dffffff,"[[[60.00351814810478, 30.370675260428786], [59.997763353018975, 30.389516959807064], [60.00426437421755, 30.408642016397224], [60.01652345110659, 30.408928535963405], [60.02227952464052, 30.390076671270105], [60.01577524203698, 30.370948454768936], [60.00351814810478, 30.370675260428786]]]",2,2500,600
1,1,Балтийская,59.907526,30.307446,117,9600,0,1,14369,0.0184,1,430,400,16,199322,3000,"г. Санкт-Петербург, набережная Обводного канала 118АЖ",POINT (59.907526 30.307446),874356c14ffffff,"[[[59.89169252417279, 30.292574150305384], [59.8859390529459, 30.31135567297195], [59.89244206861921, 30.330392342667484], [59.904701814066264, 30.330650595034335], [59.910456550324184, 30.31185895361934], [59.90395027531359, 30.292819181024928], [59.89169252417279, 30.292574150305384]]]",1,6000,150
2,2,Богатырский,60.000098,30.272053,183,15079,0,1,30176,0.0175,1,1440,0,68,257479,2000,"г. Санкт-Петербург, Богатырский пр., д.13А (при гипермаркете ""ОКЕЙ"")",POINT (60.000098 30.272053),874356ca9ffffff,"[[[60.00121571373717, 30.256862722581104], [59.99547983162573, 30.275702422556474], [60.00199380591206, 30.29478558869725], [60.01424692107646, 30.295032162586804], [60.01998406695381, 30.276182272693294], [60.01346683310576, 30.257096001298898], [60.00121571373717, 30.256862722581104]]]",1,2000,1000
3,3,Звездная,59.832191,30.34718,423,15915,1,1,9723,0.019,1,440,0,108,209175,2500,"г. Санкт-Петербург, ул. Звёздная, д. 1, ТРК «Континент»",POINT (59.832191 30.34718),874356da9ffffff,"[[[59.81887292491314, 30.32884659781999], [59.81310567088421, 30.347589744877016], [59.81959993897643, 30.366600134861145], [59.831864719719306, 30.366870487442437], [59.837633241264484, 30.34811727138757], [59.83113571376263, 30.329103774164597], [59.81887292491314, 30.32884659781999]]]",1,400,700
4,4,Звездная - 2,59.832072,30.343203,395,9418,0,1,9723,0.019,1,440,0,9,99026,2500,"г. Санкт-Петербург, Московское шоссе д.36",POINT (59.832072 30.343203),874356da9ffffff,"[[[59.81887292491314, 30.32884659781999], [59.81310567088421, 30.347589744877016], [59.81959993897643, 30.366600134861145], [59.831864719719306, 30.366870487442437], [59.837633241264484, 30.34811727138757], [59.83113571376263, 30.329103774164597], [59.81887292491314, 30.32884659781999]]]",1,400,400
5,5,Купчино,59.825075,30.381646,194,18576,1,2,11904,0.0179,1,590,700,72,194142,450,"г. Санкт-Петербург, Балканская пл., д. 5",POINT (59.825075 30.381646),874356d18ffffff,"[[[59.81959993897643, 30.366600134861145], [59.813826406441166, 30.38534392608001], [59.82031638306891, 30.404368128363814], [59.832583151456234, 30.40465166702135], [59.83835795636101, 30.385897814912415], [59.831864719719306, 30.366870487442437], [59.81959993897643, 30.366600134861145]]]",1,3000,200
6,6,Лахта,59.993618,30.146566,70,16457,0,1,54,0.0812,1,3600,5000,8,99026,5000,"г. Санкт-Петербург, Лахтинский пр-т, д. 85, ТВЦ «Гарден Сити»",POINT (59.993618 30.146566),874356c9effffff,"[[[59.98004188774697, 30.123968460375874], [59.97432613000073, 30.142795796990875], [59.98085400428605, 30.161819968312116], [59.99310089271024, 30.162019843830265], [59.99881789649867, 30.143182299632297], [59.99228676503289, 30.124155089997174], [59.98004188774697, 30.123968460375874]]]",2,4000,70
7,7,МаксиСопот,59.949113,30.234835,320,10786,1,3,11534,0.0210999999999999,1,100,1650,32,78220,1500,"г. Санкт-Петербург, ул. Железноводская, д. 68, ТК «Макси Сопот»",POINT (59.949113 30.234835),874356c85ffffff,"[[[59.94490577501892, 30.1990476988962], [59.93917366591778, 30.217856868111532], [59.945690746236245, 30.2368888912236], [59.95794319305363, 30.237114815466896], [59.96367655678359, 30.218295475836797], [59.957156218278044, 30.199260384850785], [59.94490577501892, 30.1990476988962]]]",0,3000,4000
8,8,Меркурий,59.990872,30.205904,842,18018,1,2,16880,0.0225,1,610,100,110,179249,10,"г. Санкт-Петербург, ул. Савушкина, д. 141",POINT (59.990872 30.205904),874356c81ffffff,"[[[59.981655559033385, 30.199686202029827], [59.97592722938008, 30.218515009243255], [59.98244654001564, 30.237567137026666], [59.99469743798359, 30.237793534673497], [60.00042702346012, 30.2189545359452], [59.993904454354116, 30.199899333565135], [59.981655559033385, 30.199686202029827]]]",1,4000,1500
9,9,Мурино,60.049242,30.44394,72,18333,1,1,12567,0.019,1,91,2770,33,417117,6000,"г. Мурино, Тихая ул., д. 12",POINT (60.049242 30.44394),874356c73ffffff,"[[[60.04104003930052, 30.40950217649522], [60.03528268424751, 30.428364212894355], [60.04178155452742, 30.44752354632832], [60.05404104135366, 30.44782403103075], [60.05979968100332, 30.428951816541694], [60.053297548425896, 30.409789297881805], [60.04104003930052, 30.40950217649522]]]",0,6000,4000
